gpm,name,description,projected_horizon,resource_assigned,t_uncertainty,m_uncertainty,horizon,projected,importance
John Williams,Jaws,Blind would equal while oh mr do style,NA,TBD,0.222222222,0.333333333,2,scored,4
John Williams,Star Wars,Lain led and fact none,Adjacent/Horizon 2,Yes,0.444444444,0.083333333,2,scored,3
John Williams,Close Encounters of the Third Kind,One preferred sportsmen resolving the happiness continued,Adjacent/Horizon 2,Yes,0.066666667,0.266666667,1,scored,3
John Williams,Superman,High at of in loud rich true,Transformational/Horizon 3,No,0.555555556,0.37037037,2,scored,1
John Williams,E.T. the Extra-Terrestrial,Oh conveying do immediate acuteness in he,Adjacent/Horizon 2,Yes,0.5,0.208333333,2,projected,3
John Williams,Indiana Jones and the Last Crusade,Equally welcome her set nothing has gravity whether parties,Adjacent/Horizon 2,Yes,0.25,0.333333333,2,scored,3
John Williams,Hook,Fertile suppose shyness mr up pointed in staying on respect,Adjacent/Horizon 2,P,0.2,0.333333333,1,scored,2
John Williams,Jurassic Park,Windows talking painted pasture yet its express parties use,None,TBD,0.2,0.238095238,1,scored,4
John Williams,Schindler's List,Sure last upon he same as knew next,Adjacent/Horizon 2,Yes,0.333333333,0.259259259,2,scored,3
John Williams,Saving Private Ryan,Of believed or diverted no rejoiced,NA,TBD,0.444444444,0.185185185,2,scored,4
John Williams,Artificial Intelligence: A.I.,End friendship sufficient assistance can prosperous met,NA,TBD,0.111111111,0.259259259,1,scored,4
John Williams,Harry Potter and the Philosopher's Stone,As game he show it park do,None,TBD,0.2,0.333333333,1,scored,4
John Williams,Catch Me If You Can,Was has unknown few certain ten promise,Adjacent/Horizon 2,Yes,0.166666667,0.5,2,scored,3
John Williams,Memoirs of a Geisha,No finished my an likewise cheerful packages we,Adjacent/Horizon 2,Yes,0.2,0.333333333,1,scored,3
John Williams,The Adventures of Tintin: The Secret of the Unicorn,For assurance concluded son something depending discourse see led collected,Transformational/Horizon 3,P,0.4,0.666666667,2,scored,2
John Williams,Lincoln,Packages oh no denoting my advanced humoured,Transformational/Horizon 3,No,0.333333333,0.333333333,2,scored,1
John Williams,JFK,Pressed be so thought natural,Adjacent/Horizon 2,Yes,0.466666667,0.19047619,2,scored,3
John Williams,Sleepers,Had strictly mrs handsome mistaken cheerful,Adjacent/Horizon 2,No,0.166666667,0.4,2,scored,1
John Williams,Seven Years in Tubet,We it so if resolution invitation remarkably unpleasant conviction,NA,TBD,0.166666667,0.185185185,1,scored,4
John Williams,The Terminal,As into ye then form,None,TBD,0.444444444,0.185185185,2,scored,4
John Williams,War of the Worlds,To easy five less if rose were,Adjacent/Horizon 2,No,0.166666667,0.296296296,1,scored,1
